fuel_code,fuel_name,wind_m_s,moisture_pct,slope_deg,CBH_m,CBD_kgm3,FMC_pct,I_o_kW_m,R_sa_m_min,R_surf_m_min,I_B_kW_m,L_f_m,crown_status,R_crown_m_min,crown_fraction,R_total_m_min,CI_m_s
4,Chaparral,0.0,4.0,0.0,4.0,0.15,100.0,122.0,20.0,4.3907,145.53,2.201,passive,20.0,0.0,4.3907,0.0
4,Chaparral,0.0,20.0,0.0,4.0,0.15,100.0,122.0,20.0,0.0,0.0,0.0,surface,20.0,0.0,0.0,50.0
4,Chaparral,6.0,4.0,0.0,4.0,0.15,100.0,122.0,20.0,486.7541,16133.449,19.196,active,20.0,0.0395,486.7541,0.0
4,Chaparral,6.0,20.0,0.0,4.0,0.15,100.0,122.0,20.0,0.0,0.0,0.0,surface,20.0,0.0,0.0,50.0
4,Chaparral,12.0,4.0,0.0,4.0,0.15,100.0,122.0,20.0,1294.8526,42917.849,30.107,active,20.0,0.0152,1294.8526,0.0
4,Chaparral,12.0,20.0,0.0,4.0,0.15,100.0,122.0,20.0,0.0,0.0,0.0,surface,20.0,0.0,0.0,50.0
