# X Y coordinates of cells where phi < 0
# Total points: 17256
0.476562 0.445312
0.492188 0.445312
0.460938 0.460938
0.476562 0.460938
0.492188 0.460938
0.445312 0.476562
0.460938 0.476562
0.476562 0.476562
0.492188 0.476562
0.445312 0.492188
0.460938 0.492188
0.476562 0.492188
0.492188 0.492188
0.476562 0.398438
0.492188 0.398438
0.445312 0.414062
0.460938 0.414062
0.476562 0.414062
0.492188 0.414062
0.429688 0.429688
0.445312 0.429688
0.460938 0.429688
0.476562 0.429688
0.492188 0.429688
0.414062 0.445312
0.429688 0.445312
0.445312 0.445312
0.460938 0.445312
0.476562 0.445312
0.492188 0.445312
0.414062 0.460938
0.429688 0.460938
0.445312 0.460938
0.460938 0.460938
0.476562 0.460938
0.492188 0.460938
0.398438 0.476562
0.414062 0.476562
0.429688 0.476562
0.445312 0.476562
0.460938 0.476562
0.476562 0.476562
0.492188 0.476562
0.398438 0.492188
0.414062 0.492188
0.429688 0.492188
0.445312 0.492188
0.460938 0.492188
0.476562 0.492188
0.492188 0.492188
0.492188 0.367188
0.445312 0.382812
0.460938 0.382812
0.476562 0.382812
0.492188 0.382812
0.414062 0.398438
0.429688 0.398438
0.445312 0.398438
0.460938 0.398438
0.476562 0.398438
0.492188 0.398438
0.398438 0.414062
0.414062 0.414062
0.429688 0.414062
0.445312 0.414062
0.460938 0.414062
0.476562 0.414062
0.492188 0.414062
0.398438 0.429688
0.414062 0.429688
0.429688 0.429688
0.445312 0.429688
0.460938 0.429688
0.476562 0.429688
0.492188 0.429688
0.382812 0.445312
0.398438 0.445312
0.414062 0.445312
0.429688 0.445312
0.445312 0.445312
0.460938 0.445312
0.476562 0.445312
0.492188 0.445312
0.382812 0.460938
0.398438 0.460938
0.414062 0.460938
0.429688 0.460938
0.445312 0.460938
0.460938 0.460938
0.476562 0.460938
0.492188 0.460938
0.382812 0.476562
0.398438 0.476562
0.414062 0.476562
0.429688 0.476562
0.445312 0.476562
0.460938 0.476562
0.476562 0.476562
0.492188 0.476562
0.367188 0.492188
0.382812 0.492188
0.398438 0.492188
0.414062 0.492188
0.429688 0.492188
0.445312 0.492188
0.460938 0.492188
0.476562 0.492188
0.492188 0.492188
0.460938 0.351562
0.476562 0.351562
0.492188 0.351562
0.429688 0.367188
0.445312 0.367188
0.460938 0.367188
0.476562 0.367188
0.492188 0.367188
0.398438 0.382812
0.414062 0.382812
0.429688 0.382812
0.445312 0.382812
0.460938 0.382812
0.476562 0.382812
0.492188 0.382812
0.382812 0.398438
0.398438 0.398438
0.414062 0.398438
0.429688 0.398438
0.445312 0.398438
0.460938 0.398438
0.476562 0.398438
0.492188 0.398438
0.382812 0.414062
0.398438 0.414062
0.414062 0.414062
0.429688 0.414062
0.445312 0.414062
0.460938 0.414062
0.476562 0.414062
0.492188 0.414062
0.367188 0.429688
0.382812 0.429688
0.398438 0.429688
0.414062 0.429688
0.429688 0.429688
0.445312 0.429688
0.460938 0.429688
0.476562 0.429688
0.492188 0.429688
0.367188 0.445312
0.382812 0.445312
0.398438 0.445312
0.414062 0.445312
0.429688 0.445312
0.445312 0.445312
0.460938 0.445312
0.476562 0.445312
0.492188 0.445312
0.351562 0.460938
0.367188 0.460938
0.382812 0.460938
0.398438 0.460938
0.414062 0.460938
0.429688 0.460938
