fuel_code,fuel_name,wind_m_s,moisture_pct,slope_pct,R_ros_m_min,I_R_kW_m2,I_B_kW_m,L_f_m,phi_w,phi_s
4,Chaparral,0.0,4.0,0.0,4.3907,954.556,145.53,2.201,0.0,0.0
4,Chaparral,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Chaparral,10.0,4.0,0.0,1000.5573,954.556,33163.438,26.739,226.8812,0.0
4,Chaparral,10.0,30.0,0.0,0.0,0.0,0.0,0.0,226.8812,0.0
4,Chaparral,0.0,4.0,16.7,20.0752,954.556,665.392,4.429,0.0,3.5722
4,Chaparral,0.0,30.0,16.7,0.0,0.0,0.0,0.0,0.0,3.5722
4,Chaparral,10.0,4.0,16.7,1016.2418,954.556,33683.3,26.931,226.8812,3.5722
4,Chaparral,10.0,30.0,16.7,0.0,0.0,0.0,0.0,226.8812,3.5722
